"Status","Name","Duration in ms","Description"
"broken","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10763","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9474","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9141","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9749","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9635","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9898","验证核心科目1年增速PS-2020估值"
"broken","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10174","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","8719","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10618","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10545","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","8776","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9061","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","11506","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10849","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9562","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","8780","验证核心科目1年增速PS-2020估值"
"broken","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10369","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","11209","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9216","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9270","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10396","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","11371","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10052","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","8942","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","8886","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10861","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","8707","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10941","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10615","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10701","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9263","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10515","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9803","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10486","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","10249","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9592","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","8861","验证核心科目1年增速PS-2020估值"
"passed","scripts.test04_valuation_tools.TestValuationTools#test19_check_core_subjects_valuation_ps","9539","验证核心科目1年增速PS-2020估值"
